INSTNM,CITY,STABBR,LOCALE,CIP11ASSOC,CIP11BACHL
Strayer University-Wisconsin,Milwaukee,WI,11.0,2.0,2.0
Strayer University-Indiana,Indianapolis,IN,11.0,2.0,2.0
Strayer University-Illinois,Chicago,IL,11.0,2.0,2.0
Stevens-Henager College-St George,StGeorge,UT,13.0,1.0,1.0
ITT Technical Institute-Philadelphia,Philadelphia,PA,11.0,1.0,0.0
ITT Technical Institute-Grand Rapids,Wyoming,MI,13.0,1.0,1.0
ITT Technical Institute-Southfield,Southfield,MI,13.0,1.0,1.0
ITT Technical Institute-Salem,Salem,OR,12.0,1.0,1.0
ITT Technical Institute-Indianapolis East,Indianapolis,IN,11.0,1.0,1.0
ITT Technical Institute-Overland Park,OverlandPark,KS,12.0,1.0,1.0
ITT Technical Institute-Springfield,Springfield,IL,12.0,1.0,1.0
Florida Institute of Technology-Online,Melbourne,FL,13.0,2.0,2.0
Advanced Computing Institute,LosAngeles,CA,11.0,1.0,0.0
Strayer University-Missouri,KansasCity,MO,11.0,2.0,2.0
ITT Technical Institute-Pensacola,Pensacola,FL,13.0,1.0,1.0
ITT Technical Institute-San Antonio East,SanAntonio,TX,11.0,1.0,1.0
Georgia Regents University,Augusta,GA,12.0,1.0,2.0
Middle Georgia State College,Macon,GA,13.0,1.0,2.0
National American University-Austin South,Austin,TX,11.0,2.0,2.0
National American University-Richardson,Richardson,TX,12.0,2.0,2.0
National American University-Rochester,Rochester,MN,12.0,2.0,2.0
National American University-Wichita West,Wichita,KS,11.0,2.0,2.0
National American University-Indianapolis,Indianapolis,IN,11.0,2.0,2.0
The Art Institute of St Louis,StCharles,MO,13.0,1.0,1.0
DeVry College of New York,NewYork,NY,11.0,1.0,1.0
DeVry University-Arizona,Phoenix,AZ,11.0,1.0,1.0
DeVry University-Illinois,Chicago,IL,11.0,2.0,2.0
DeVry University-Indiana,Indianapolis,IN,11.0,1.0,1.0
DeVry University-Maryland,Bethesda,MD,13.0,0.0,1.0
DeVry University-Michigan,Southfield,MI,13.0,1.0,1.0
DeVry University-Missouri,KansasCity,MO,11.0,1.0,1.0
DeVry University-Nevada,Henderson,NV,11.0,1.0,1.0
DeVry University-North Carolina,Charlotte,NC,11.0,1.0,1.0
DeVry University-Ohio,Columbus,OH,11.0,2.0,2.0
DeVry University-Oklahoma,OklahomaCity,OK,11.0,1.0,1.0
DeVry University-Tennessee,Memphis,TN,11.0,1.0,1.0
DeVry University-Texas,Irving,TX,12.0,1.0,1.0
DeVry University-Virginia,Arlington,VA,12.0,1.0,1.0
DeVry University-Wisconsin,Milwaukee,WI,11.0,1.0,1.0
Northeastern University Global Network,Boston,MA,11.0,2.0,2.0
Central Georgia Technical College,WarnerRobins,GA,13.0,2.0,0.0
